"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2005","regionflow_2006","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","regionflow_2016","regionflow_2017","origin_iso","origin_name","destination_iso","destination_name","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","countryflow_2016","countryflow_2017","origin_show","destination_show"
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,15,Hirzbrunnen,0,0,1,0,3,0,0,3,0,0,2,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,10,Iselin,2,1,2,3,0,6,0,0,0,3,1,2,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,19,Kleinhüningen,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,18,Klybeck,0,0,3,0,4,0,0,0,0,2,7,0,2,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,17,Matthäus,4,6,3,5,3,5,0,1,4,3,0,1,2,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,20,Riehen,2,2,2,0,2,2,0,1,0,1,1,1,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,16,Rosental,1,0,2,1,2,2,1,3,4,0,0,2,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,5,St. Alban,2,1,0,1,1,7,2,1,0,0,1,1,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,11,St. Johann,0,3,3,4,1,1,4,5,3,2,1,5,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,2,Vorstädte,3,1,1,0,1,1,0,0,0,0,1,1,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,14,Wettstein,2,1,3,0,1,0,3,1,1,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,1,Altstadt Grossbasel,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,12,Altstadt Kleinbasel,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,3,Am Ring,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,8,Bachletten,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,4,Breite,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,9,Gotthelf,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,6,Gundeldingen,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,15,Hirzbrunnen,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,10,Iselin,0,0,0,0,0,0,1,2,0,0,3,1,1,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,17,Matthäus,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,20,Riehen,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,5,St. Alban,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,11,St. Johann,0,0,0,0,0,1,1,3,4,0,1,2,1,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,2,Vorstädte,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,44,33,21,34,33,25,44,34,41,27,35,45,43,Aegypten,Aegypten,14,Wettstein,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,AG,AG,4,11,11,3,5,5,6,4,4,3,3,4,2,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,AR,AR,0,0,0,3,1,5,0,0,0,0,0,0,1,1,1
12,Basel-Stadt,104,A - Afrika,44,54,29,29,28,44,28,33,20,30,29,30,32,1,Altstadt Grossbasel,Aegypten,Aegypten,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12,Basel-Stadt,103,SA - Lateinamerika,63,54,46,91,63,33,82,73,58,81,56,56,42,1,Altstadt Grossbasel,Argentinien,Argentinien,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
12,Basel-Stadt,106,O - Australien,32,26,28,48,19,28,22,20,24,23,22,30,35,1,Altstadt Grossbasel,Australien,Australien,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,BE,BE,5,9,8,4,10,5,4,6,5,6,4,5,4,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,BL,BL,33,45,24,33,21,12,29,20,22,26,21,33,22,1,1
12,Basel-Stadt,103,SA - Lateinamerika,63,54,46,91,63,33,82,73,58,81,56,56,42,1,Altstadt Grossbasel,Brasilien,Brasilien,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
