"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","regionflow_2016","regionflow_2017","origin_iso","origin_name","destination_iso","destination_name","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","countryflow_2016","countryflow_2017","origin_show","destination_show","regionflow_2018","regionflow_2019","countryflow_2018","countryflow_2019"
1,1 - Altstadt Grossbasel,5,5 - St. Alban,23,6,13,12,13,13,17,11,12,Geschäftsviertel,55,St. Jakob-Dreispitz,0,0,0,0,0,0,0,0,1,1,10,9,0,0
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,20,21,26,19,29,19,19,16,12,Geschäftsviertel,61,Margarethen,0,1,0,2,2,0,2,3,1,1,18,20,0,2
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,20,21,26,19,29,19,19,16,12,Geschäftsviertel,62,Thierstein,1,0,3,0,0,0,0,1,1,1,18,20,2,0
1,1 - Altstadt Grossbasel,6,6 - Gundeldingen,20,21,26,19,29,19,19,16,12,Geschäftsviertel,63,Delsbergerallee,5,2,0,2,1,0,0,0,1,1,18,20,4,0
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,8,8,8,4,5,5,4,6,12,Geschäftsviertel,71,Thiersteinerrain,1,2,0,0,0,2,2,0,1,1,6,4,0,0
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,8,8,8,4,5,5,4,6,12,Geschäftsviertel,72,Batterie-Nord,0,0,0,1,0,1,0,0,1,1,6,4,1,0
1,1 - Altstadt Grossbasel,7,7 - Bruderholz,8,8,8,4,5,5,4,6,12,Geschäftsviertel,73,Batterie-Süd,0,0,0,0,0,0,0,0,1,1,6,4,0,0
1,1 - Altstadt Grossbasel,8,8 - Bachletten,11,10,16,10,18,13,14,17,12,Geschäftsviertel,81,Paulus,0,1,0,1,0,0,0,0,1,1,14,28,0,5
1,1 - Altstadt Grossbasel,8,8 - Bachletten,11,10,16,10,18,13,14,17,12,Geschäftsviertel,82,Bernerring,0,1,0,0,0,0,1,0,1,1,14,28,3,0
1,1 - Altstadt Grossbasel,8,8 - Bachletten,11,10,16,10,18,13,14,17,12,Geschäftsviertel,83,Holee,0,0,1,0,2,0,0,0,1,1,14,28,0,1
1,1 - Altstadt Grossbasel,8,8 - Bachletten,11,10,16,10,18,13,14,17,12,Geschäftsviertel,84,Schützenmatte,0,0,0,0,1,0,0,0,1,1,14,28,0,4
1,1 - Altstadt Grossbasel,8,8 - Bachletten,11,10,16,10,18,13,14,17,12,Geschäftsviertel,85,Weiherhof,0,2,3,1,0,0,0,2,1,1,14,28,1,0
1,1 - Altstadt Grossbasel,9,9 - Gotthelf,15,8,9,14,8,10,11,10,12,Geschäftsviertel,91,Blauen,3,5,1,3,1,0,0,2,1,1,11,7,0,0
1,1 - Altstadt Grossbasel,9,9 - Gotthelf,15,8,9,14,8,10,11,10,12,Geschäftsviertel,92,Gottfried Keller,0,1,0,0,0,0,0,0,1,1,11,7,3,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,14,31,17,18,13,16,11,12,12,Geschäftsviertel,101,Oekolampad,1,5,0,2,0,0,1,0,1,1,12,15,3,3
1,1 - Altstadt Grossbasel,10,10 - Iselin,14,31,17,18,13,16,11,12,12,Geschäftsviertel,102,Wasgenring-Ost,1,1,0,2,0,0,0,0,1,1,12,15,0,1
1,1 - Altstadt Grossbasel,10,10 - Iselin,14,31,17,18,13,16,11,12,12,Geschäftsviertel,103,Wasgenring-West,0,0,0,2,0,0,0,0,1,1,12,15,1,0
1,1 - Altstadt Grossbasel,11,11 - St. Johann,19,27,28,21,16,22,56,25,12,Geschäftsviertel,111,Pestalozzi,1,3,0,0,0,2,2,0,1,1,26,35,2,3
1,1 - Altstadt Grossbasel,11,11 - St. Johann,19,27,28,21,16,22,56,25,12,Geschäftsviertel,112,Kannenfeld,0,0,0,0,0,0,0,1,1,1,26,35,0,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,19,27,28,21,16,22,56,25,12,Geschäftsviertel,113,Landskron,1,3,4,1,2,0,1,0,1,1,26,35,1,1
1,1 - Altstadt Grossbasel,11,11 - St. Johann,19,27,28,21,16,22,56,25,12,Geschäftsviertel,114,Lysbüchel,0,2,0,0,0,1,0,0,1,1,26,35,1,0
1,1 - Altstadt Grossbasel,11,11 - St. Johann,19,27,28,21,16,22,56,25,12,Geschäftsviertel,115,Friedmatt,0,4,0,0,1,0,0,2,1,1,26,35,2,5
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,11,5,7,13,8,8,6,11,12,Geschäftsviertel,121,Theodor,1,0,0,3,0,2,2,0,1,1,9,7,0,0
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,11,5,7,13,8,8,6,11,12,Geschäftsviertel,122,Klingental,0,0,0,0,3,0,1,0,1,1,9,7,0,0
1,1 - Altstadt Grossbasel,13,13 - Clara,4,3,3,6,6,9,5,3,12,Geschäftsviertel,131,Clarahof,0,0,0,0,0,0,0,0,1,1,9,7,0,0
1,1 - Altstadt Grossbasel,13,13 - Clara,4,3,3,6,6,9,5,3,12,Geschäftsviertel,132,Claramatte,0,0,0,0,0,3,0,0,1,1,9,7,4,0
1,1 - Altstadt Grossbasel,14,14 - Wettstein,9,5,6,10,11,3,4,10,12,Geschäftsviertel,141,Rosengarten,0,0,1,2,1,0,0,0,1,1,7,6,0,0
1,1 - Altstadt Grossbasel,14,14 - Wettstein,9,5,6,10,11,3,4,10,12,Geschäftsviertel,142,Solitude,0,0,1,0,0,1,0,1,1,1,7,6,2,1
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,5,1,5,1,1,3,9,5,12,Geschäftsviertel,151,Eglisee,0,0,0,0,0,0,3,0,1,1,5,7,0,0
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,5,1,5,1,1,3,9,5,12,Geschäftsviertel,152,Kleinriehen-Nord,0,0,3,0,0,0,0,0,1,1,5,7,0,0
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,5,1,5,1,1,3,9,5,12,Geschäftsviertel,153,Kleinriehen-Süd,0,0,1,0,0,0,0,0,1,1,5,7,0,0
1,1 - Altstadt Grossbasel,16,16 - Rosental,7,5,9,4,3,9,6,8,12,Geschäftsviertel,160,Rosental,0,0,0,0,0,0,0,0,1,1,4,13,0,0
1,1 - Altstadt Grossbasel,16,16 - Rosental,7,5,9,4,3,9,6,8,12,Geschäftsviertel,161,Messe,4,0,0,1,1,0,1,1,1,1,4,13,0,0
